".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"quantum_efficiency",4550,187,272,688,"beaeeN0, beaeeN120",1994-05-24 05:00:00,"00:00:00",54,1477,0.07,"SE",0.003,4,"quantum_efficiency",5,0.43,51.73,FALSE,FALSE,0.07,0.003
"quantum_efficiency",4551,187,272,688,"beaeeN0, beaeeN120",1994-06-29 00:00:00,"00:00:00",54,1477,0.06,"SE",0.01,4,"quantum_efficiency",6,0.43,51.73,FALSE,FALSE,0.06,0.01
"quantum_efficiency",4552,187,272,688,"beaeeN0, beaeeN120",1994-07-18 00:00:00,"00:00:00",54,1477,0.07,"SE",0.01,4,"quantum_efficiency",7,0.43,51.73,FALSE,FALSE,0.07,0.01
"quantum_efficiency",4553,187,272,688,"beaeeN0, beaeeN120",1994-10-13 00:00:00,"00:00:00",54,1477,0.05,"SE",0.01,4,"quantum_efficiency",10,0.43,51.73,FALSE,FALSE,0.05,0.01
"leaf_respiration_rate_m2",4554,187,272,688,"beaeeN0, beaeeN120",1994-05-25 00:00:00,"00:00:00",54,1477,2.6,"SE",0.5,4,"leaf_respiration_rate_m2",5,0.43,51.73,FALSE,FALSE,2.6,0.5
"leaf_respiration_rate_m2",4555,187,272,688,"beaeeN0, beaeeN120",1994-06-29 00:00:00,"00:00:00",54,1477,1.7,"SE",1.3,4,"leaf_respiration_rate_m2",6,0.43,51.73,FALSE,FALSE,1.7,1.3
"leaf_respiration_rate_m2",4556,187,272,688,"beaeeN0, beaeeN120",1994-07-18 00:00:00,"00:00:00",54,1477,2.4,"SE",1.5,4,"leaf_respiration_rate_m2",7,0.43,51.73,FALSE,FALSE,2.4,1.5
"leaf_respiration_rate_m2",4557,187,272,688,"beaeeN0, beaeeN120",1994-10-13 00:00:00,"00:00:00",54,1477,1.7,"SE",0.9,4,"leaf_respiration_rate_m2",10,0.43,51.73,FALSE,FALSE,1.7,0.9
"stomatal_slope.BB",49921,656,76,2085,"observational",NA,NA,NA,1477,3,"SE",0.078,4,"stomatal_slope.BB",NA,-88.202,40.0637,TRUE,FALSE,3,0.078
"SLA",2603,62,368,498,"Control",2009-07-24 00:00:00,"00:00:00",NA,1477,14.27,"SE",4.44,4,"SLA",7,-88.2373,40.0415,TRUE,FALSE,14.27,4.44
"SLA",2604,62,368,498,"Control",2009-08-28 00:00:00,"00:00:00",NA,1477,13.21,"SE",1.7,4,"SLA",8,-88.2373,40.0415,TRUE,FALSE,13.21,1.7
"SLA",2605,62,368,498,"Control",2009-09-18 00:00:00,"00:00:00",NA,1477,15.15,"SE",2.34,4,"SLA",9,-88.2373,40.0415,TRUE,FALSE,15.15,2.34
"SLA",2606,62,368,498,"Control",2009-10-06 00:00:00,"00:00:00",NA,1477,12.56,"SE",3.04,4,"SLA",10,-88.2373,40.0415,TRUE,FALSE,12.56,3.04
"SLA",2607,62,368,499,"Nfert",2009-06-16 00:00:00,"00:00:00",NA,1477,16.33,"SE",4.4,4,"SLA",6,-88.2373,40.0415,FALSE,FALSE,16.33,4.4
"SLA",2608,62,368,499,"Nfert",2009-07-24 00:00:00,"00:00:00",NA,1477,14.12,"SE",4.84,4,"SLA",7,-88.2373,40.0415,FALSE,FALSE,14.12,4.84
"SLA",2609,62,368,499,"Nfert",2009-08-28 00:00:00,"00:00:00",NA,1477,16.36,"SE",3,4,"SLA",8,-88.2373,40.0415,FALSE,FALSE,16.36,3
"SLA",2610,62,368,499,"Nfert",2009-09-18 00:00:00,"00:00:00",NA,1477,18.48,"SE",3.48,4,"SLA",9,-88.2373,40.0415,FALSE,FALSE,18.48,3.48
"SLA",2611,62,368,499,"Nfert",2009-10-06 00:00:00,"00:00:00",NA,1477,13.08,"SE",3.68,4,"SLA",10,-88.2373,40.0415,FALSE,FALSE,13.08,3.68
"SLA",2613,62,368,498,"Control",2009-07-24 00:00:00,"00:00:00",NA,1477,12.32,"SE",2.02,4,"SLA",7,-88.2373,40.0415,TRUE,FALSE,12.32,2.02
"SLA",2614,62,368,498,"Control",2009-08-28 00:00:00,"00:00:00",NA,1477,14.51,"SE",2.2,4,"SLA",8,-88.2373,40.0415,TRUE,FALSE,14.51,2.2
